Temps(s); Volant avec vibr ;; Volant sans vibr 
0,826;2,48;;2,44
0,827;2,44;;2,44
0,828;2,44;;2,45
0,829;2,44;;2,44
0,83;2,44;;2,44
0,831;2,4;;2,44
0,832;2,4;;2,44
0,833;2,4;;2,4
0,834;2,4;;2,4
0,835;2,36;;2,4
0,836;2,36;;2,37
0,837;2,37;;2,36
0,838;2,35;;2,39
0,839;2,35;;2,36
0,84;2,36;;2,34
0,841;2,36;;2,33
0,842;2,32;;2,32
0,843;2,32;;2,32
0,844;2,32;;2,32
0,845;2,32;;2,32
0,846;2,28;;2,32
0,847;2,28;;2,28
0,848;2,28;;2,28
0,849;2,28;;2,28
0,85;2,27;;2,28
0,851;2,24;;2,28
0,852;2,24;;2,28
0,853;2,24;;2,24
0,854;2,24;;2,24
0,855;2,24;;2,24
0,856;2,24;;2,24
0,857;2,23;;2,24
0,858;2,24;;2,21
0,859;2,2;;2,24
0,86;2,2;;2,24
0,861;2,2;;2,24
0,862;2,2;;2,2
0,863;2,2;;2,2
0,864;2,2;;2,2
0,865;2,2;;2,2
0,866;2,16;;2,2
0,867;2,2;;2,2
0,868;2,16;;2,2
0,869;2,16;;2,16
0,87;2,16;;2,16
0,871;2,16;;2,17
0,872;2,16;;2,12
0,873;2,14;;2,16
0,874;2,14;;2,16
0,875;2,16;;2,16
0,876;2,12;;2,15
0,877;2,15;;2,12
0,878;2,15;;2,16
0,879;2,14;;2,16
0,88;2,12;;2,16
0,881;2,12;;2,16
0,882;2,12;;2,12
0,883;2,12;;2,15
0,884;2,12;;2,12
0,885;2,12;;2,14
0,886;2,12;;2,15
0,887;2,12;;2,16
0,888;2,12;;2,12
0,889;2,12;;2,12
0,89;2,12;;2,14
0,891;2,12;;2,12
0,892;2,12;;2,12
0,893;2,12;;2,12
0,894;2,12;;2,12
0,895;2,12;;2,12
0,896;2,12;;2,12
0,897;2,12;;2,12
0,898;2,12;;2,12
0,899;2,12;;2,12
0,9;2,11;;2,15
0,901;2,12;;2,12
0,902;2,12;;2,12
0,903;2,12;;2,15
0,904;2,1;;2,16
0,905;2,12;;2,15
0,906;2,12;;2,12
0,907;2,12;;2,12
0,908;2,12;;2,12
0,909;2,12;;2,15
0,91;2,12;;2,15
0,911;2,12;;2,12
0,912;2,12;;2,16
0,913;2,12;;2,13
0,914;2,15;;2,16
0,915;2,12;;2,15
0,916;2,12;;2,16
0,917;2,15;;2,16
0,918;2,15;;2,16
0,919;2,12;;2,16
0,92;2,12;;2,16
0,921;2,12;;2,16
0,922;2,16;;2,16
0,923;2,14;;2,16
0,924;2,14;;2,16
0,925;2,12;;2,16
0,926;2,16;;2,16
0,927;2,16;;2,16
0,928;2,16;;2,16
0,929;2,16;;2,16
0,93;2,16;;2,19
0,931;2,16;;2,2
0,932;2,16;;2,2
0,933;2,16;;2,2
0,934;2,16;;2,18
0,935;2,2;;2,2
0,936;2,16;;2,2
0,937;2,17;;2,2
0,938;2,19;;2,2
0,939;2,2;;2,2
0,94;2,16;;2,2
0,941;2,2;;2,2
0,942;2,17;;2,24
0,943;2,2;;2,2
0,944;2,2;;2,23
0,945;2,2;;2,22
0,946;2,2;;2,24
0,947;2,2;;2,2
0,948;2,24;;2,21
0,949;2,22;;2,24
0,95;2,21;;2,24
0,951;2,24;;2,24
0,952;2,24;;2,24
0,953;2,24;;2,24
0,954;2,24;;2,26
0,955;2,24;;2,24
0,956;2,24;;2,24
0,957;2,24;;2,28
0,958;2,24;;2,25
0,959;2,24;;2,28
0,96;2,24;;2,27
0,961;2,28;;2,28
0,962;2,24;;2,28
0,963;2,28;;2,28
0,964;2,28;;2,28
0,965;2,28;;2,31
0,966;2,28;;2,28
0,967;2,28;;2,28
0,968;2,28;;2,32
0,969;2,31;;2,32
0,97;2,28;;2,32
0,971;2,28;;2,32
0,972;2,29;;2,32
0,973;2,32;;2,32
0,974;2,32;;2,32
0,975;2,32;;2,32
0,976;2,32;;2,32
0,977;2,32;;2,32
0,978;2,32;;2,32
0,979;2,35;;2,35
0,98;2,35;;2,36
0,981;2,36;;2,36
0,982;2,36;;2,36
0,983;2,36;;2,36
0,984;2,36;;2,36
0,985;2,36;;2,39
0,986;2,36;;2,37
0,987;2,37;;2,4
0,988;2,36;;2,4
0,989;2,4;;2,4
0,99;2,4;;2,4
0,991;2,4;;2,4
0,992;2,4;;2,4
0,993;2,4;;2,4
0,994;2,39;;2,4
0,995;2,4;;2,4
0,996;2,44;;2,4
0,997;2,4;;2,4
0,998;2,4;;2,4
0,999;2,42;;2,4
1;2,4;;2,4
1,001;2,4;;2,41
1,002;2,4;;2,4
1,003;2,4;;2,41
1,004;2,4;;2,42
1,005;2,43;;2,43
1,006;2,4;;2,44
1,007;2,4;;2,44
1,008;2,4;;2,44
1,009;2,44;;2,4
1,01;2,44;;2,44
1,011;2,44;;2,4
1,012;2,43;;2,44
1,013;2,44;;2,44
1,014;2,44;;2,44
1,015;2,44;;2,44
1,016;2,44;;2,44
1,017;2,44;;2,4
1,018;2,44;;2,4
1,019;2,44;;2,43
1,02;2,43;;2,4
1,021;2,44;;2,4
1,022;2,44;;2,4
1,023;2,44;;2,4
1,024;2,42;;2,4
1,025;2,44;;2,43
1,026;2,44;;2,4
1,027;2,41;;2,4
1,028;2,44;;2,4
1,029;2,43;;2,4
1,03;2,44;;2,4
1,031;2,44;;2,4
1,032;2,44;;2,4
1,033;2,44;;2,4
1,034;2,43;;2,4
1,035;2,43;;2,4
1,036;2,4;;2,4
1,037;2,41;;2,4
1,038;2,43;;2,39
1,039;2,44;;2,4
1,04;2,4;;2,4
1,041;2,4;;2,4
1,042;2,4;;2,4
1,043;2,4;;2,4
1,044;2,4;;2,38
1,045;2,37;;2,39
1,046;2,4;;2,37
1,047;2,4;;2,36
1,048;2,36;;2,36
1,049;2,38;;2,36
1,05;2,36;;2,36
1,051;2,36;;2,36
1,052;2,4;;2,36
1,053;2,36;;2,35
1,054;2,36;;2,34
1,055;2,36;;2,34
1,056;2,36;;2,36
1,057;2,36;;2,36
1,058;2,36;;2,32
1,059;2,35;;2,32
1,06;2,36;;2,32
1,061;2,36;;2,32
1,062;2,33;;2,32
1,063;2,35;;2,32
1,064;2,32;;2,32
1,065;2,32;;2,32
1,066;2,32;;2,32
1,067;2,32;;2,32
1,068;2,32;;2,32
1,069;2,32;;2,32
1,07;2,32;;2,32
